Ticker,Code,Name,NSCode
AXP,GOOG/NYSE_AXP,American Express,NS1/AXP_US
BA,GOOG/NYSE_BA,Boeing,NS1/BA_US
CAT,GOOG/NYSE_CAT,Caterpillar,NS1/CAT_US
CSCO,GOOG/NASDAQ_CSCO,Cisco Systems,NS1/CSCO_US
CVX,GOOG/NYSE_CVX,Chevron,NS1/CVX_US
DD,GOOG/NYSE_DD,DuPont,NS1/DD_US
DIS,GOOG/NYSE_DIS,Walt Disney,NS1/DIS_US
GE,GOOG/NYSE_GE,General Electric,NS1/GE_US
GS,GOOG/NYSE_GS,Goldman Sachs,NS1/GS_US
HD,GOOG/NYSE_HD,The Home Depot,NS1/HD_US
IBM,GOOG/NYSE_IBM,IBM,NS1/IBM_US
INTC,GOOG/NASDAQ_INTC,Intel,NS1/INTC_US
JNJ,GOOG/NYSE_JNJ,Johnson & Johnson,NS1/JNJ_US
JPM,GOOG/NYSE_JPM,JPMorgan Chase,NS1/JPM_US
KO,GOOG/NYSE_KO,Coca-Cola,NS1/KO_US
MCD,GOOG/NYSE_MCD,McDonald's,NS1/MCD_US
MMM,GOOG/NYSE_MMM,3M,NS1/MMM_US
MRK,GOOG/NYSE_MRK,Merck,NS1/MRK_US
MSFT,GOOG/NASDAQ_MSFT,Microsoft,NS1/MSFT_US
NKE,GOOG/NYSE_NKE,Nike,NS1/NKE_US
PFE,GOOG/NYSE_PFE,Pfizer,NS1/PFE_US
PG,GOOG/NYSE_PG,Procter & Gamble,NS1/PG_US
T,GOOG/NASDAQ_T,AT&T,NS1/T_US
TRV,GOOG/NYSE_TRV,Travelers,NS1/TRV_US
UNH,GOOG/NYSE_UNH,UnitedHealth Group,NS1/UNH_US
UTX,GOOG/NYSE_UTX,United Technologies,NS1/UTX_US
V,GOOG/NYSE_V,Visa,NS1/V_US
VZ,GOOG/NYSE_VZ,Verizon,NS1/VZ_US
WMT,GOOG/NYSE_WMT,Wal-Mart,NS1/WMT_US
XOM,GOOG/NYSE_XOM,ExxonMobil,NS1/XOM_US
