Date,Open,Close,Ticker
2013-01-02,76.55,77.07,BA
2013-01-03,76.99,77.47,BA
2013-01-04,77.79,77.69,BA
2013-01-07,77.54,76.13,BA
2013-01-08,75.24,74.13,BA
2013-01-09,74.92,76.76,BA
2013-01-10,76.93,77.09,BA
2013-01-11,75.71,75.16,BA
2013-01-14,75.23,76.55,BA
2013-01-15,76.21,76.94,BA
2013-01-16,73.85,74.34,BA
2013-01-17,72.78,75.26,BA
2013-01-18,75.16,75.04,BA
2013-01-22,74.12,74.16,BA
2013-01-23,73.99,74.29,BA
2013-01-24,74.41,75.32,BA
2013-01-25,75.29,75.03,BA
2013-01-28,73.9,74.0,BA
2013-01-29,74.24,73.65,BA
2013-01-30,74.42,74.59,BA
2013-01-31,74.5,73.87,BA
2013-02-01,74.49,74.87,BA
2013-02-04,74.29,75.21,BA
2013-02-05,75.69,75.89,BA
2013-02-06,75.47,76.29,BA
2013-02-07,76.32,77.43,BA
2013-02-08,77.24,76.56,BA
2013-02-11,76.42,75.87,BA
2013-02-12,76.06,75.99,BA
2013-02-13,75.67,74.78,BA
2013-02-14,74.69,74.93,BA
2013-02-15,75.26,75.03,BA
2013-02-19,74.99,74.65,BA
2013-02-20,75.64,74.78,BA
2013-02-21,74.96,76.01,BA
2013-02-22,76.7,76.66,BA
2013-02-25,76.83,75.03,BA
2013-02-26,75.43,75.65,BA
2013-02-27,75.53,77.36,BA
2013-02-28,77.24,76.9,BA
2013-03-01,76.7,77.28,BA
2013-03-04,76.95,77.09,BA
2013-03-05,77.45,78.66,BA
2013-03-06,78.67,79.08,BA
2013-03-07,79.37,81.05,BA
2013-03-08,81.16,81.23,BA
2013-03-11,81.01,82.94,BA
2013-03-12,83.1,84.16,BA
2013-03-13,84.38,84.75,BA
2013-03-14,84.62,84.62,BA
2013-03-15,84.75,86.43,BA
2013-03-18,85.07,85.18,BA
2013-03-19,85.53,85.51,BA
2013-03-20,85.85,85.37,BA
2013-03-21,85.2,84.33,BA
2013-03-22,84.52,84.82,BA
2013-03-25,85.03,84.85,BA
2013-03-26,85.43,86.62,BA
2013-03-27,85.75,86.2,BA
2013-03-28,86.41,85.85,BA
2013-04-01,85.6,85.25,BA
2013-04-02,85.39,84.09,BA
2013-04-03,84.3,84.36,BA
2013-04-04,84.79,84.95,BA
2013-04-05,84.07,86.17,BA
2013-04-08,86.01,86.75,BA
2013-04-09,87.12,87.21,BA
2013-04-10,87.34,87.82,BA
2013-04-11,87.96,88.53,BA
2013-04-12,88.29,88.89,BA
2013-04-15,88.44,86.77,BA
2013-04-16,87.45,86.89,BA
2013-04-17,86.47,86.69,BA
2013-04-18,87.06,86.12,BA
2013-04-19,87.57,87.96,BA
2013-04-22,88.08,86.94,BA
2013-04-23,87.35,88.18,BA
2013-04-24,91.95,90.83,BA
2013-04-25,91.35,91.67,BA
2013-04-26,91.89,92.85,BA
2013-04-29,91.4,91.9,BA
2013-04-30,91.35,91.41,BA
2013-05-01,91.08,91.18,BA
2013-05-02,91.24,92.21,BA
2013-05-03,92.85,93.74,BA
2013-05-06,93.44,94.19,BA
2013-05-07,94.31,94.79,BA
2013-05-08,94.31,94.04,BA
2013-05-09,94.07,94.61,BA
2013-05-10,94.75,94.24,BA
2013-05-13,94.12,94.76,BA
2013-05-14,94.92,96.11,BA
2013-05-15,95.69,97.02,BA
2013-05-16,96.89,96.58,BA
2013-05-17,97.02,98.92,BA
2013-05-20,99.12,98.72,BA
2013-05-21,98.59,98.75,BA
2013-05-22,98.86,97.93,BA
2013-05-23,97.18,99.75,BA
2013-05-24,99.75,100.0,BA
2013-05-28,100.85,100.11,BA
2013-05-29,99.56,99.09,BA
2013-05-30,99.29,100.54,BA
2013-05-31,100.21,99.02,BA
2013-06-03,99.36,100.74,BA
