Date,Open,Close,Ticker
2013-01-02,68.65,69.39,PG
2013-01-03,69.44,68.95,PG
2013-01-04,69.01,69.09,PG
2013-01-07,68.92,68.62,PG
2013-01-08,68.52,68.51,PG
2013-01-09,68.77,68.88,PG
2013-01-10,68.98,69.27,PG
2013-01-11,69.3,69.22,PG
2013-01-14,69.31,69.63,PG
2013-01-15,69.16,69.88,PG
2013-01-16,69.42,69.34,PG
2013-01-17,69.56,69.67,PG
2013-01-18,69.69,69.94,PG
2013-01-22,69.86,69.95,PG
2013-01-23,69.84,70.69,PG
2013-01-24,70.68,70.42,PG
2013-01-25,71.75,73.25,PG
2013-01-28,73.73,73.77,PG
2013-01-29,73.55,75.0,PG
2013-01-30,74.75,75.08,PG
2013-01-31,74.83,75.16,PG
2013-02-01,75.3,75.92,PG
2013-02-04,75.69,75.25,PG
2013-02-05,75.44,75.7,PG
2013-02-06,75.32,76.15,PG
2013-02-07,75.98,76.15,PG
2013-02-08,76.15,75.75,PG
2013-02-11,75.41,75.81,PG
2013-02-12,75.96,75.98,PG
2013-02-13,76.01,76.56,PG
2013-02-14,76.3,76.78,PG
2013-02-15,76.72,76.54,PG
2013-02-19,76.56,77.38,PG
2013-02-20,77.27,77.08,PG
2013-02-21,76.28,77.04,PG
2013-02-22,77.05,76.99,PG
2013-02-25,77.07,75.92,PG
2013-02-26,75.99,76.08,PG
2013-02-27,75.95,76.75,PG
2013-02-28,76.66,76.18,PG
2013-03-01,75.7,76.49,PG
2013-03-04,76.25,76.68,PG
2013-03-05,76.78,77.05,PG
2013-03-06,77.01,77.2,PG
2013-03-07,77.22,76.9,PG
2013-03-08,77.01,77.18,PG
2013-03-11,77.02,77.35,PG
2013-03-12,77.19,77.17,PG
2013-03-13,77.07,76.8,PG
2013-03-14,76.87,77.39,PG
2013-03-15,77.08,76.34,PG
2013-03-18,75.9,76.16,PG
2013-03-19,76.14,77.11,PG
2013-03-20,77.29,77.58,PG
2013-03-21,77.42,77.21,PG
2013-03-22,77.18,77.27,PG
2013-03-25,77.27,76.68,PG
2013-03-26,77.02,77.4,PG
2013-03-27,76.98,77.06,PG
2013-03-28,76.95,77.06,PG
2013-04-01,76.85,77.7,PG
2013-04-02,77.84,78.96,PG
2013-04-03,78.88,78.12,PG
2013-04-04,78.32,78.54,PG
2013-04-05,77.88,78.23,PG
2013-04-08,78.09,78.79,PG
2013-04-09,78.82,78.26,PG
2013-04-10,78.49,79.24,PG
2013-04-11,79.37,79.67,PG
2013-04-12,79.51,80.08,PG
2013-04-15,79.79,79.65,PG
2013-04-16,79.83,80.1,PG
2013-04-17,79.98,79.06,PG
2013-04-18,79.09,79.87,PG
2013-04-19,80.37,81.43,PG
2013-04-22,81.31,81.4,PG
2013-04-23,81.46,82.54,PG
2013-04-24,79.49,77.12,PG
2013-04-25,77.67,76.58,PG
2013-04-26,76.72,77.1,PG
2013-04-29,77.56,77.68,PG
2013-04-30,77.86,76.77,PG
2013-05-01,76.83,76.99,PG
2013-05-02,77.39,77.76,PG
2013-05-03,78.1,78.19,PG
2013-05-06,78.03,77.75,PG
2013-05-07,77.98,77.94,PG
2013-05-08,77.9,78.44,PG
2013-05-09,78.57,78.21,PG
2013-05-10,78.41,78.76,PG
2013-05-13,78.51,78.59,PG
2013-05-14,78.93,79.47,PG
2013-05-15,79.47,80.68,PG
2013-05-16,80.49,80.2,PG
2013-05-17,79.91,80.02,PG
2013-05-20,79.98,79.09,PG
2013-05-21,79.17,78.8,PG
2013-05-22,78.84,78.82,PG
2013-05-23,78.27,78.7,PG
2013-05-24,81.88,81.88,PG
2013-05-28,82.05,80.86,PG
2013-05-29,80.16,78.9,PG
2013-05-30,78.9,79.09,PG
2013-05-31,78.79,76.76,PG
2013-06-03,76.87,77.66,PG
2013-06-04,77.71,77.37,PG
2013-06-05,77.08,76.66,PG
2013-06-06,76.54,76.82,PG
2013-06-07,77.44,77.75,PG
2013-06-10,77.69,78.07,PG
2013-06-11,77.68,78.12,PG
2013-06-12,78.64,77.6,PG
2013-06-13,77.54,78.43,PG
2013-06-14,78.49,78.03,PG
2013-06-17,78.26,78.96,PG
2013-06-18,78.95,79.04,PG
2013-06-19,79.05,77.61,PG
2013-06-20,77.21,75.25,PG
2013-06-21,76.25,77.43,PG
2013-06-24,76.95,76.58,PG
